"Transition","BayesFactor"
"Zambia.to.Zimbabwe",84.1381490591944
"Zambia.to.Norway",0.846678237561845
"Zambia.to.Austria",0.811676450260914
"Zambia.to.Lebanon",0.907087208774852
"Zambia.to.SouthAfrica",0.824990011115663
"Zambia.to.Uganda",0.918893391222066
"Zimbabwe.to.Algeria",1.85443721261202
"Zimbabwe.to.Bangladesh",1.34484901460202
"Zimbabwe.to.Pakistan",1.47674847206694
"Zimbabwe.to.India",1.59806300678407
"Zimbabwe.to.Kenya",1.31803763452843
"Zimbabwe.to.Malawi",1.28599334735093
"Zimbabwe.to.Tanzania",1.2152846269552
"Zimbabwe.to.Yemen",1.39876806947005
"Zimbabwe.to.Zambia",1.90831992131483
"Zimbabwe.to.Norway",1.3861514560425
"Zimbabwe.to.Austria",1.31090451371078
"Zimbabwe.to.Lebanon",1.36816526741821
"Zimbabwe.to.SouthAfrica",1.2152846269552
"Zimbabwe.to.Uganda",1.2152846269552
"Norway.to.Algeria",1.50597617878764
"Norway.to.Bangladesh",1.32339204988933
"Norway.to.Pakistan",1.55740399202492
"Norway.to.India",1.25408931480423
"Norway.to.Kenya",1.0466313209152
"Norway.to.Malawi",4.00981902955556
"Norway.to.Tanzania",1.06555956913465
"Norway.to.Yemen",1.13481285093556
"Norway.to.Zambia",1.00892415084284
"Norway.to.Zimbabwe",1.11570168893617
"Norway.to.Austria",1.06039236544606
"Norway.to.Lebanon",1.56847077707442
"Norway.to.SouthAfrica",1.04491304549265
"Norway.to.Uganda",1.07590514616074
"Austria.to.Algeria",1.52613742300975
"Austria.to.Bangladesh",1.2152846269552
"Austria.to.Pakistan",1.29665914695653
"Austria.to.India",1.55556113013955
"Austria.to.Kenya",1.03632784182455
"Austria.to.Malawi",1.14177494041857
"Austria.to.Tanzania",1.09664109164682
"Austria.to.Yemen",1.05006910763329
"Austria.to.Zambia",1.17143893755967
"Austria.to.Zimbabwe",1.0879938451493
"Austria.to.Norway",1.00721490006824
"Austria.to.Lebanon",1.40598730541585
"Austria.to.SouthAfrica",1.10529874397648
"Austria.to.Uganda",1.13655274359489
"Lebanon.to.Algeria",0.876818336533944
"Lebanon.to.Bangladesh",0.750426452534569
"Lebanon.to.Pakistan",1.55556113013955
"Lebanon.to.India",0.848349323168488
"Lebanon.to.Kenya",0.725746657222139
"Lebanon.to.Malawi",1.10183443314293
"Lebanon.to.Tanzania",0.592349170106932
"Lebanon.to.Yemen",0.58590688904889
"Lebanon.to.Zambia",0.683173217533555
"Lebanon.to.Zimbabwe",0.660355992557601
"Lebanon.to.Norway",1.02261288138228
"Lebanon.to.Austria",410.97955944183
"Lebanon.to.SouthAfrica",0.626269511109403
"Lebanon.to.Uganda",0.670125673784906
"SouthAfrica.to.Algeria",1.94316170738741
"SouthAfrica.to.Bangladesh",1.41140639023297
"SouthAfrica.to.Pakistan",1.4186380555326
"SouthAfrica.to.India",1.72138701804564
"SouthAfrica.to.Kenya",1.43312274735859
"SouthAfrica.to.Malawi",1.1661952580366
"SouthAfrica.to.Tanzania",1.32517772724182
"SouthAfrica.to.Yemen",1.26647983132471
"SouthAfrica.to.Zambia",1.29665914695653
"SouthAfrica.to.Zimbabwe",1.33411266294321
"SouthAfrica.to.Norway",1.32696384097685
"SouthAfrica.to.Austria",1.26825162844185
"SouthAfrica.to.Lebanon",1.50231639066868
"SouthAfrica.to.Uganda",1.35560113954926
"Uganda.to.Algeria",1.63149545303159
"Uganda.to.Bangladesh",1.54451355706636
"Uganda.to.Pakistan",2.31684485051508
"Uganda.to.India",0.954430028504831
"Uganda.to.Kenya",17.0665891971593
"Uganda.to.Malawi",0.907087208774852
"Uganda.to.Tanzania",8.97538508228249
"Uganda.to.Yemen",1.06039236544606
"Uganda.to.Zambia",0.841667349676033
"Uganda.to.Zimbabwe",0.858384137884093
"Uganda.to.Norway",0.885213404324424
"Uganda.to.Austria",0.748778429587406
"Uganda.to.Lebanon",0.98673571355867
"Uganda.to.SouthAfrica",0.823324441614559
